Arabic	ar,ara
Italian	it,ita
Indonesian	id,ind
Ukrainian	uk,ukr
Estonian	et,est
Dutch	nl,nld
Greek	el,ell
Central Khmer	km,khm
Swedish	sv,swe
Spanish	es,spa
Slovak	sk,slk
Slovenian	sl,slv
Thai	th,tha
Czech	cs,ces
Danish	da,dan
German	de,deu
Turkish	tr,tur
Nepali	ne,nep
Norwegian	no,nor
Hungarian	hu,hun
Tagalog	tl,tgl
Finnish	fi,fin
French	fr,fra
Bulgarian	bg,bul
Vietnamese	vi,vie
Polish	pl,pol
Portuguese	pt,por
Burmese	my,mya
Latvian	lv,lav
Lithuanian	lt,lit
Romanian	ro,ron
Russian	ru,rus
English	en,eng
Korean	ko,kor
Chinese(Traditional )	zh-tw,chi_tra
Chinese(Simplified)	zh-cn,chi_sim
Japanese	ja,jpn
